"id","area_km"
4620688.04,1.80
4620689.01,2.74
4620689.02,1.57
4620689.03,3.65
4620689.04,31.77
4620690.00,65.62
4620691.00,2.76
4620692.00,64.11
4620693.00,2.02
4620694.00,32.86
4620700.01,1.32
4620700.03,1.54
4620700.04,1.57
4620701.01,1.73
4620701.02,2.66
4620702.01,2.04
4620702.02,3.88
4620703.02,4.47
4620703.03,3.12
4620703.04,3.24
4620704.01,1.77
4620704.04,1.79
4620704.05,4.88
4620704.06,2.35
4620704.08,14.55
4620704.09,2.47
4620705.01,1.58
4620705.02,1.91
4620706.00,1.37
4620707.00,1.86
4620708.01,1.21
4620708.02,1.55
4620709.01,3.70
4620709.02,2.39
4620710.03,3.09
4620710.05,32.29
4620710.06,2.09
4620710.07,3.39
4620710.08,1.23
4620710.09,3.53
4620710.1,2.52
4620710.11,0.92
4620725.03,1.56
4620725.04,2.84
4620725.06,52.73
4620725.07,1.45
4620725.09,2.18
4620725.1,3.22
4620726.01,1.87
4620726.03,1.26
4620726.04,0.80
4620727.01,1.12
4620727.02,1.50
4620728.01,1.76
4620728.02,1.92
4620728.03,0.92
4620729.00,1.49
4620730.01,5.77
4620730.02,2.98
4620731.00,4.62
4620732.01,41.32
4620732.03,11.85
4620732.04,57.31
4620733.01,230.99
4620733.02,42.98
4620734.03,5.29
4620734.04,23.98
4620734.05,32.28
4620734.06,2.15
4620734.07,128.90
4620735.01,52.53
4620735.02,8.94
4620740.01,92.68
4620740.03,45.06
4620740.04,48.81
4620750.01,15.46
4620750.02,12.75
4620750.04,1.06
4620750.06,3.59
4620750.07,1.96
4620751.01,3.37
4620751.02,3.74
4620755.01,21.21
4620755.02,5.56
4620756.02,10.86
4620756.03,34.76
4620756.04,2.79
4620756.05,2.22
4620757.00,21.87
4620758.03,23.74
4620758.04,15.37
4620758.05,7.63
4620758.06,20.06
4620760.00,77.71
4620775.00,10.53
4620776.00,8.51
4620777.01,30.39
4620777.02,30.42
4620780.00,1.48
4620781.00,2.36
4620782.00,2.47
4620783.00,4.98
4620784.00,1.23
4620785.00,3.53
4620786.00,3.36
4620787.00,6.47
4620788.00,2.13
4620789.00,12.11
